,equal_weight
2024-01-31,9405430.042432584
2024-02-01,9491284.032853786
2024-02-02,9621106.901016166
2024-02-05,9591226.369787129
2024-02-06,9703676.331570176
2024-02-07,9796655.90382118
2024-02-08,9920553.085098838
2024-02-09,10014287.538482608
2024-02-12,10070349.85900252
2024-02-13,9853184.475863311
2024-02-14,10099916.584643854
2024-02-15,10194531.433640808
2024-02-16,10060053.578809105
2024-02-20,9955623.43983512
2024-02-21,9906360.139921147
2024-02-22,10194598.832862731
2024-02-23,10186901.363912987
2024-02-26,10259264.481975902
2024-02-27,10318398.076826865
2024-02-28,10251405.430932527
2024-02-29,10282353.17385526
2024-03-01,10393053.862339634
2024-03-04,10398217.387449488
2024-03-05,10213150.639653621
2024-03-06,10341922.110492168
2024-03-07,10446045.277804451
2024-03-08,10434328.776449349
2024-03-11,10397631.279382888
2024-03-12,10517529.122977747
2024-03-13,10491734.165539812
2024-03-14,10361276.007965019
2024-03-15,10293237.239080772
2024-03-18,10381026.122957133
2024-03-19,10349265.602765078
2024-03-20,10553978.605546648
2024-03-21,10636791.986326747
2024-03-22,10575834.966214871
2024-03-25,10627415.431001186
2024-03-26,10613018.089326072
2024-03-27,10669950.795107976
2024-03-28,10683931.025588024
2024-04-01,10673927.368913963
2024-04-02,10549284.806146024
2024-04-03,10544471.623920087
2024-04-04,10362343.808185378
2024-04-05,10451917.470337914
2024-04-08,10468394.825779673
2024-04-09,10494323.149314314
2024-04-10,10379881.029318787
2024-04-11,10494446.437740516
2024-04-12,10269138.709643573
2024-04-15,10095610.826392906
2024-04-16,10086369.782915413
2024-04-17,10005923.75011946
2024-04-18,9976129.722948061
2024-04-19,9848684.13585191
2024-04-22,9958402.169843515
2024-04-23,10138863.917151839
2024-04-24,10147127.041044464
2024-04-25,10088307.897237852
2024-04-26,10247038.894851038
2024-04-29,10257765.459498761
2024-04-30,10039200.160432927
2024-05-01,9891922.316920636
2024-05-02,10061895.356822666
2024-05-03,10174696.47447196
2024-05-06,10378262.617522618
2024-05-07,10272675.731275015
2024-05-08,10201095.758901417
2024-05-09,10239056.286650283
2024-05-10,10188596.19281809
2024-05-13,10219736.699495705
2024-05-14,10299350.312445771
2024-05-15,10477419.182435261
2024-05-16,10451747.59301144
2024-05-17,10491266.53517855
2024-05-20,10553477.335966848
2024-05-21,10542217.969602445
2024-05-22,10506934.542453825
2024-05-23,10342543.427389493
2024-05-24,10435810.593702843
2024-05-28,10420878.16793753
2024-05-29,10316880.238977699
2024-05-30,10220525.388242764
2024-05-31,10277005.218949957
2024-06-03,10293123.593778986
2024-06-04,10339772.005340366
2024-06-05,10490135.841890981
2024-06-06,10514433.103625797
2024-06-07,10469767.88665315
2024-06-10,10490537.00399696
2024-06-11,10492682.253528893
2024-06-12,10612313.665854206
2024-06-13,10601330.021533435
2024-06-14,10573283.234869896
2024-06-17,10696294.473765917
2024-06-18,10714531.283354495
2024-06-20,10708919.277647741
2024-06-21,10675170.090995984
2024-06-24,10641981.839832861
2024-06-25,10693023.762481045
2024-06-26,10680407.688752329
2024-06-27,10728555.652249258
2024-06-28,10685533.066932023
2024-07-01,10759529.410423234
2024-07-02,10824787.821400125
2024-07-03,10873287.550372737
2024-07-05,10929768.771319043
2024-07-08,10910018.198396884
2024-07-09,10899764.934870124
2024-07-10,10969323.19725996
2024-07-11,10884901.998449014
2024-07-12,10950670.805805076
2024-07-15,11054542.052616382
2024-07-16,11177827.032997668
2024-07-17,10965975.982264414
2024-07-18,10815308.137426447
2024-07-19,10775911.052733758
2024-07-22,10837914.025288058
2024-07-23,10771466.313531429
2024-07-24,10444852.471813368
2024-07-25,10419227.455707436
2024-07-26,10568136.019480325
2024-07-29,10544660.551603222
2024-07-30,10458523.933111904
2024-07-31,10649055.592205176
2024-08-01,10352123.737367058
2024-08-02,10023247.83852082
2024-08-05,9740238.784968967
2024-08-06,9852424.606158236
2024-08-07,9739792.09373632
2024-08-08,10077789.77207074
2024-08-09,10120702.7722059
2024-08-12,10085839.202694887
2024-08-13,10354970.61562003
2024-08-14,10363875.48577682
2024-08-15,10617495.937029451
2024-08-16,10692764.815273868
2024-08-19,10825458.900101354
2024-08-20,10766387.169749921
2024-08-21,10835925.21069472
2024-08-22,10649245.643962663
2024-08-23,10807167.364603924
2024-08-26,10726992.698067741
2024-08-27,10707084.943064248
2024-08-28,10528035.061417196
2024-08-29,10634013.411581017
2024-08-30,10758650.432201358
2024-09-03,10466174.47605926
2024-09-04,10420469.801630577
2024-09-05,10396618.397777732
2024-09-06,10125803.539917547
2024-09-09,10285465.128390854
2024-09-10,10355925.278480887
2024-09-11,10528972.042979334
2024-09-12,10588447.574068755
