,strategy_return
2025-07-30,13404994.931232654
2025-07-31,13344684.689897763
2025-08-01,12887627.710366052
2025-08-04,13245203.62789266
2025-08-05,13151114.547285227
2025-08-06,13064379.557374014
2025-08-07,13190187.880320307
2025-08-08,13250280.907020804
2025-08-11,13377784.344702465
2025-08-12,13467519.172368623
2025-08-13,13412852.020588458
2025-08-14,13376255.851231286
2025-08-15,13267200.752785342
2025-08-18,13300727.609346759
2025-08-19,12766614.18915106
2025-08-20,12690206.146435734
2025-08-21,12660414.491008462
2025-08-22,13003861.238294099
2025-08-25,12879359.652056148
2025-08-26,13045471.612881
2025-08-27,12983875.714799732
2025-08-28,13145340.168417003
2025-08-29,12929854.367655141
2025-09-02,12836842.760777317
2025-09-03,12832636.985907398
2025-09-04,13005435.46450703
2025-09-05,13035832.430580517
2025-09-08,13238069.64668333
2025-09-09,13436005.113222072
2025-09-10,13627181.444178918
2025-09-11,13780142.729273047
2025-09-12,14071754.46972646
2025-09-15,14208807.313783
2025-09-16,14275280.481868548
2025-09-17,14317304.3945998
2025-09-18,14689127.328479487
2025-09-19,14931783.38339323
2025-09-22,15020978.119268136
2025-09-23,15025904.997007385
2025-09-24,14888745.085651826
2025-09-25,14639204.543785699
2025-09-26,14664058.512456425
2025-09-29,14898802.100475136
2025-09-30,14923278.971721653
2025-10-01,15058174.613391144
2025-10-02,15482844.916250877
2025-10-03,15605929.706422973
2025-10-06,15899605.722442796
2025-10-07,15958881.031488853
2025-10-08,16055445.02065123
2025-10-09,16141483.746356288
2025-10-10,15538845.88369478
2025-10-13,16288282.532137029
2025-10-14,16278090.159700708
2025-10-15,16442302.269129682
2025-10-16,16070412.485244611
2025-10-17,15889905.606787125
2025-10-20,15962391.969566477
2025-10-21,15738827.372427177
2025-10-22,15417497.332883911
2025-10-23,15768603.841377813
2025-10-24,15910272.627566844
2025-10-27,16174605.969056679
2025-10-28,16059536.767616423
2025-10-29,16252708.680856228
2025-10-30,16102102.450957641
2025-10-31,16304329.002293611
2025-11-03,16129719.48651796
