,equal_weight
2025-05-27,16568141.71958681
2025-05-28,16405540.692291806
2025-05-29,16314839.803859951
2025-05-30,16256807.174054379
2025-06-02,16366904.916598327
2025-06-03,16530833.431039203
2025-06-04,16559884.566777375
2025-06-05,16325859.917014008
2025-06-06,16652440.256232226
2025-06-09,16801108.54646375
2025-06-10,16950766.44261714
2025-06-11,16972952.66638843
2025-06-12,16928302.409719247
2025-06-13,16707452.18495194
2025-06-16,17064481.812642924
2025-06-17,16851463.935703207
2025-06-18,16979483.455387227
2025-06-20,17019058.94500835
2025-06-23,16923724.154495582
2025-06-24,17312368.703077387
2025-06-25,17270430.825883534
2025-06-26,17561718.24097347
2025-06-27,17608141.36178097
2025-06-30,17861741.83719649
2025-07-01,17778106.7918803
2025-07-02,18178465.93726553
2025-07-03,18282431.057864558
2025-07-07,18138869.371258512
2025-07-08,18280311.35148346
2025-07-09,18419739.109719407
2025-07-10,18591413.04956109
2025-07-11,18411500.678045645
2025-07-14,18498370.25502831
2025-07-15,18462809.952576224
2025-07-16,18659717.97314634
2025-07-17,18831143.878982406
2025-07-18,18810851.515616022
2025-07-21,18723507.63626164
2025-07-22,18694313.179970533
2025-07-23,18963320.509538025
2025-07-24,18882690.816562645
2025-07-25,18913266.6494601
2025-07-28,18942247.152445283
2025-07-29,18682225.621185098
2025-07-30,18623450.984018113
2025-07-31,18503081.94738504
2025-08-01,18023172.25393027
2025-08-04,18374820.703883886
2025-08-05,18347009.307686567
2025-08-06,18316298.89197524
2025-08-07,18461023.334885042
2025-08-08,18557663.769330714
2025-08-11,18656956.55877124
2025-08-12,18920811.23600855
2025-08-13,18988758.898562685
2025-08-14,18945470.721377295
2025-08-15,18865559.914245013
2025-08-18,18915018.305108655
2025-08-19,18502643.22323068
2025-08-20,18362920.848727703
2025-08-21,18320227.93849909
2025-08-22,18814173.7130994
2025-08-25,18696781.516276337
2025-08-26,18822887.628477447
2025-08-27,18834828.847668793
2025-08-28,18988219.59189204
2025-08-29,18849706.586055484
2025-09-02,18743173.197620105
2025-09-03,18750307.698261924
2025-09-04,18902920.056073666
2025-09-05,18908570.09795958
2025-09-08,19012442.187303152
2025-09-09,19189623.123914253
2025-09-10,19331017.294026293
2025-09-11,19530087.348454934
2025-09-12,19693537.685816325
2025-09-15,19867839.590212934
2025-09-16,19986206.18411429
2025-09-17,20051435.32746614
2025-09-18,20424985.344808705
2025-09-19,20567632.801122464
2025-09-22,20669581.945440356
2025-09-23,20666594.90820919
2025-09-24,20550916.618922267
2025-09-25,20303038.498624124
2025-09-26,20391000.516810585
2025-09-29,20571297.01987192
2025-09-30,20589928.470576175
2025-10-01,20854068.618610274
2025-10-02,21123353.26658587
2025-10-03,21167124.52965097
2025-10-06,21556969.10892852
2025-10-07,21514383.56697177
2025-10-08,21752113.1112705
2025-10-09,21628706.72432778
2025-10-10,20721998.67279715
2025-10-13,21353539.141570494
2025-10-14,21377804.19037231
2025-10-15,21611601.106536
2025-10-16,21221793.073408127
2025-10-17,21098845.455841336
